,Year,Ori_Code,Ori_State,Ori_GDP,Ori_Population,Dest_Code,Dest_State,Dest_GDP,Dest_Population,Category_Code,Category,Value
0,2012,IL,Illinois,5911.13,12882510,OR,Oregon,3690.43,3899001,1,Animals & fish (live),0
1,2012,VA,Virginia,1680.19,8185080,TX,Texas,8217.54,26084481,1,Animals & fish (live),0
2,2012,WI,Wisconsin,4945.86,5719960,CA,California,34377.93,37948800,1,Animals & fish (live),0
3,2012,CA,California,34377.93,37948800,HI,Hawaii,536.2,1394804,1,Animals & fish (live),0.01
4,2012,MO,Missouri,3341.06,6024367,MS,Mississippi,1902.13,2983816,1,Animals & fish (live),0.01
5,2012,MT,Montana,1834.38,1003783,NE,Nebraska,7575.09,1853303,1,Animals & fish (live),0.01
6,2012,KS,Kansas,5402.17,2885257,DE,Delaware,417,915179,1,Animals & fish (live),0.02
7,2012,KS,Kansas,5402.17,2885257,GA,Georgia,4205.78,9901430,1,Animals & fish (live),0.02
8,2012,MD,Maryland,1043.96,5886992,UT,Utah,718.31,2853375,1,Animals & fish (live),0.02
9,2012,CA,California,34377.93,37948800,AL,Alabama,1802.17,4815588,1,Animals & fish (live),0.03
10,2012,KS,Kansas,5402.17,2885257,NC,North Carolina,4602.34,9749476,1,Animals & fish (live),0.03
11,2012,MD,Maryland,1043.96,5886992,LA,Louisiana,2101.69,4600972,1,Animals & fish (live),0.04
12,2012,MT,Montana,1834.38,1003783,KS,Kansas,5402.17,2885257,1,Animals & fish (live),0.04
13,2012,GA,Georgia,4205.78,9901430,MO,Missouri,3341.06,6024367,1,Animals & fish (live),0.06
14,2012,MO,Missouri,3341.06,6024367,OR,Oregon,3690.43,3899001,1,Animals & fish (live),0.09
15,2012,KY,Kentucky,2112.13,4386346,MS,Mississippi,1902.13,2983816,1,Animals & fish (live),0.1
16,2012,MA,Massachusetts,1009.57,6663005,FL,Florida,6682.81,19297822,1,Animals & fish (live),0.1
17,2012,PA,Pennsylvania,3704.98,12767118,MA,Massachusetts,1009.57,6663005,1,Animals & fish (live),0.17
18,2012,CA,California,34377.93,37948800,CT,Connecticut,409.33,3594547,1,Animals & fish (live),0.18
19,2012,KS,Kansas,5402.17,2885257,CT,Connecticut,409.33,3594547,1,Animals & fish (live),0.22
20,2012,NC,North Carolina,4602.34,9749476,MD,Maryland,1043.96,5886992,1,Animals & fish (live),0.25
21,2012,NC,North Carolina,4602.34,9749476,FL,Florida,6682.81,19297822,1,Animals & fish (live),0.26
22,2012,KS,Kansas,5402.17,2885257,PA,Pennsylvania,3704.98,12767118,1,Animals & fish (live),0.3
23,2012,KS,Kansas,5402.17,2885257,CA,California,34377.93,37948800,1,Animals & fish (live),0.32
24,2012,MD,Maryland,1043.96,5886992,NM,New Mexico,1416.47,2087309,1,Animals & fish (live),0.39
25,2012,KS,Kansas,5402.17,2885257,MA,Massachusetts,1009.57,6663005,1,Animals & fish (live),0.44
26,2012,MO,Missouri,3341.06,6024367,AZ,Arizona,1903.86,6554978,1,Animals & fish (live),0.47
27,2012,PA,Pennsylvania,3704.98,12767118,VT,Vermont,445.75,626090,1,Animals & fish (live),0.48
28,2012,MD,Maryland,1043.96,5886992,CA,California,34377.93,37948800,1,Animals & fish (live),0.49
29,2012,SC,South Carolina,1188.08,4717354,MS,Mississippi,1902.13,2983816,1,Animals & fish (live),0.51
30,2012,OR,Oregon,3690.43,3899001,NV,Nevada,294.82,2743996,1,Animals & fish (live),0.52
31,2012,CA,California,34377.93,37948800,NE,Nebraska,7575.09,1853303,1,Animals & fish (live),0.56
32,2012,MD,Maryland,1043.96,5886992,TX,Texas,8217.54,26084481,1,Animals & fish (live),0.58
33,2012,TX,Texas,8217.54,26084481,NM,New Mexico,1416.47,2087309,1,Animals & fish (live),0.66
34,2012,MI,Michigan,3286.13,9897145,IL,Illinois,5911.13,12882510,1,Animals & fish (live),0.78
35,2012,MD,Maryland,1043.96,5886992,MO,Missouri,3341.06,6024367,1,Animals & fish (live),0.79
36,2012,OH,Ohio,3762.89,11548923,MD,Maryland,1043.96,5886992,1,Animals & fish (live),0.79
37,2012,NC,North Carolina,4602.34,9749476,AL,Alabama,1802.17,4815588,1,Animals & fish (live),0.83
38,2012,TX,Texas,8217.54,26084481,AZ,Arizona,1903.86,6554978,1,Animals & fish (live),0.86
39,2012,VT,Vermont,445.75,626090,MA,Massachusetts,1009.57,6663005,1,Animals & fish (live),0.87
40,2012,VT,Vermont,445.75,626090,NY,New York,2872.87,19572932,1,Animals & fish (live),0.87
41,2012,VT,Vermont,445.75,626090,PA,Pennsylvania,3704.98,12767118,1,Animals & fish (live),0.87
42,2012,VT,Vermont,445.75,626090,RI,Rhode Island,102.54,1054621,1,Animals & fish (live),0.87
43,2012,ID,Idaho,3444.54,1595324,NV,Nevada,294.82,2743996,1,Animals & fish (live),0.88
44,2012,TN,Tennessee,1356.58,6453898,OH,Ohio,3762.89,11548923,1,Animals & fish (live),0.89
45,2012,TN,Tennessee,1356.58,6453898,WV,West Virginia,264.57,1856872,1,Animals & fish (live),0.89
46,2012,MO,Missouri,3341.06,6024367,MD,Maryland,1043.96,5886992,1,Animals & fish (live),0.9
47,2012,KS,Kansas,5402.17,2885257,NJ,New Jersey,824.36,8844942,1,Animals & fish (live),0.94
48,2012,OK,Oklahoma,3057.46,3818814,LA,Louisiana,2101.69,4600972,1,Animals & fish (live),0.94
49,2012,MO,Missouri,3341.06,6024367,MA,Massachusetts,1009.57,6663005,1,Animals & fish (live),0.96
50,2012,KS,Kansas,5402.17,2885257,NY,New York,2872.87,19572932,1,Animals & fish (live),0.97
51,2012,MO,Missouri,3341.06,6024367,GA,Georgia,4205.78,9901430,1,Animals & fish (live),0.97
52,2012,KS,Kansas,5402.17,2885257,NH,New Hampshire,221.86,1324232,1,Animals & fish (live),0.99
53,2012,KS,Kansas,5402.17,2885257,NV,Nevada,294.82,2743996,1,Animals & fish (live),0.99
54,2012,NC,North Carolina,4602.34,9749476,NJ,New Jersey,824.36,8844942,1,Animals & fish (live),1.02
55,2012,GA,Georgia,4205.78,9901430,AR,Arkansas,2573.44,2952164,1,Animals & fish (live),1.04
56,2012,MO,Missouri,3341.06,6024367,AL,Alabama,1802.17,4815588,1,Animals & fish (live),1.07
57,2012,ME,Maine,828.62,1327729,RI,Rhode Island,102.54,1054621,1,Animals & fish (live),1.09
58,2012,ME,Maine,828.62,1327729,VT,Vermont,445.75,626090,1,Animals & fish (live),1.09
59,2012,NC,North Carolina,4602.34,9749476,TX,Texas,8217.54,26084481,1,Animals & fish (live),1.1
60,2012,MD,Maryland,1043.96,5886992,NY,New York,2872.87,19572932,1,Animals & fish (live),1.14
61,2012,MO,Missouri,3341.06,6024367,OH,Ohio,3762.89,11548923,1,Animals & fish (live),1.14
62,2012,MO,Missouri,3341.06,6024367,NV,Nevada,294.82,2743996,1,Animals & fish (live),1.18
63,2012,CA,California,34377.93,37948800,SC,South Carolina,1188.08,4717354,1,Animals & fish (live),1.24
64,2012,NH,New Hampshire,221.86,1324232,ME,Maine,828.62,1327729,1,Animals & fish (live),1.35
65,2012,NH,New Hampshire,221.86,1324232,VT,Vermont,445.75,626090,1,Animals & fish (live),1.35
66,2012,MO,Missouri,3341.06,6024367,TN,Tennessee,1356.58,6453898,1,Animals & fish (live),1.36
67,2012,FL,Florida,6682.81,19297822,KY,Kentucky,2112.13,4386346,1,Animals & fish (live),1.38
68,2012,VA,Virginia,1680.19,8185080,MI,Michigan,3286.13,9897145,1,Animals & fish (live),1.39
69,2012,TN,Tennessee,1356.58,6453898,IL,Illinois,5911.13,12882510,1,Animals & fish (live),1.4
70,2012,NJ,New Jersey,824.36,8844942,RI,Rhode Island,102.54,1054621,1,Animals & fish (live),1.42
71,2012,RI,Rhode Island,102.54,1054621,VT,Vermont,445.75,626090,1,Animals & fish (live),1.53
72,2012,OK,Oklahoma,3057.46,3818814,IL,Illinois,5911.13,12882510,1,Animals & fish (live),1.58
73,2012,CA,California,34377.93,37948800,WI,Wisconsin,4945.86,5719960,1,Animals & fish (live),1.74
74,2012,RI,Rhode Island,102.54,1054621,NH,New Hampshire,221.86,1324232,1,Animals & fish (live),1.74
75,2012,GA,Georgia,4205.78,9901430,KY,Kentucky,2112.13,4386346,1,Animals & fish (live),1.78
76,2012,MO,Missouri,3341.06,6024367,CT,Connecticut,409.33,3594547,1,Animals & fish (live),1.82
77,2012,NC,North Carolina,4602.34,9749476,CA,California,34377.93,37948800,1,Animals & fish (live),1.86
78,2012,MO,Missouri,3341.06,6024367,CA,California,34377.93,37948800,1,Animals & fish (live),1.96
79,2012,OK,Oklahoma,3057.46,3818814,NM,New Mexico,1416.47,2087309,1,Animals & fish (live),1.97
80,2012,PA,Pennsylvania,3704.98,12767118,IA,Iowa,10520.48,3076190,1,Animals & fish (live),1.97
81,2012,MO,Missouri,3341.06,6024367,TX,Texas,8217.54,26084481,1,Animals & fish (live),1.98
82,2012,CA,California,34377.93,37948800,IN,Indiana,4087.65,6537703,1,Animals & fish (live),1.99
83,2012,TX,Texas,8217.54,26084481,MS,Mississippi,1902.13,2983816,1,Animals & fish (live),1.99
84,2012,WV,West Virginia,264.57,1856872,GA,Georgia,4205.78,9901430,1,Animals & fish (live),2
85,2012,DC,,0.44,,DE,Delaware,417,915179,1,Animals & fish (live),2.07
86,2012,NH,New Hampshire,221.86,1324232,NY,New York,2872.87,19572932,1,Animals & fish (live),2.07
87,2012,IL,Illinois,5911.13,12882510,AR,Arkansas,2573.44,2952164,1,Animals & fish (live),2.09
88,2012,KS,Kansas,5402.17,2885257,FL,Florida,6682.81,19297822,1,Animals & fish (live),2.12
89,2012,MO,Missouri,3341.06,6024367,VA,Virginia,1680.19,8185080,1,Animals & fish (live),2.15
90,2012,NC,North Carolina,4602.34,9749476,DE,Delaware,417,915179,1,Animals & fish (live),2.21
91,2012,CA,California,34377.93,37948800,NH,New Hampshire,221.86,1324232,1,Animals & fish (live),2.28
92,2012,NV,Nevada,294.82,2743996,ID,Idaho,3444.54,1595324,1,Animals & fish (live),2.32
93,2012,CA,California,34377.93,37948800,VA,Virginia,1680.19,8185080,1,Animals & fish (live),2.35
94,2012,NV,Nevada,294.82,2743996,UT,Utah,718.31,2853375,1,Animals & fish (live),2.41
95,2012,TN,Tennessee,1356.58,6453898,IN,Indiana,4087.65,6537703,1,Animals & fish (live),2.5
96,2012,UT,Utah,718.31,2853375,NV,Nevada,294.82,2743996,1,Animals & fish (live),2.56
